id,corpusName,corpusAcronym,corpusAcronym_comments,corpusLink,corpusLanguage,corpusLanguage_comments,corpusTextCount,"corpusTextCount 
(=Docs in Corpus)_comments",corpusWordCount,"corpusWordCount 
(words in corpus)_comments
[Vera Maria Charvat:
actually: We did not differentiate between words (sometimes not clear if duplicates are included or not) and tokens (all words, including duplicates)]",corpusTimespan,corpusTimespan_comments,corpusFormat/Schema,corpusFormat/Schema_consolidatedVocab,corpusFormat/Schema_comments,corpusAnnotation,corpusAnnotation_comments,corpusLiteraryGenre,corpusLiteraryGenre_consolidatedVocab,corpusLiteraryGenre_comments,corpusType,corpusType_consolidatedVocab,corpusAPI,corpusAPI_comments,corpusLicence,corpusLicence_link,corpusLicence_comments,corpusReview,additionalLink,additionalLink_comments,additionalInfo / commentary,sourceOfInformation,editor/contributor
11,Russian Drama Corpus,RusDraCor,,https://dracor.org/rus ,Russian,,212,"Charvat, Vera Maria:
[proposal: 210], [homepage: 212]",NaN,,1740s–1940s ,,TEI,,,NaN,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,,NaN,https://github.com/dracor-org/rusdracor,,"Proposal: ""Russian Drama Corpus: 210 Russian-language plays from 1740s–1940s""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
12,Shakespeare Drama Corpus,ShakeDraCor,,https://dracor.org/shake,English,,37,,NaN,,NaN,,TEI,,,NaN,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC BY-NC 3.0,,,NaN,https://github.com/dracor-org/shakedracor,,"Homepage: ""derived from the Folger Shakespeare Library""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
13,Spanish Drama Corpus,SpanDraCor,,https://dracor.org/span,Spanish,,25,,NaN,,NaN,,TEI,,,NaN,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,,NaN,NaN,,"Homepage: ""Forked from the BETTE corpus (Biblioteca Electrónica Textual del Teatro en Español de 1868–1936).""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
14,Swedish Drama Corpus,SweDraCor,,https://dracor.org/swe,Swedish,,68,,NaN,,1880–1900,,TEI,,,NaN,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,,NaN,https://github.com/dracor-org/swedracor,,"Homepage: ""Derived from the eDrama (https://litteraturbanken.se/dramawebben/sida/edrama) project""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
15,Tatar Drama Corpus,TatDraCor,,https://dracor.org/tat,Tatar,,3,,NaN,,NaN,,TEI,,,NaN,,drama,drama,,Monitor Corpus,monitor,https://dracor.org/doc/api,,CC0 1.0 Universal (CC0 1.0),https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc0-1-0,NaN,NaN,,"Homepage: ""provided through Tatar Electronic Library.""",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
16,Reference corpus Middle High German ,ReM,,https://doi.org/10.34644/laudatio-dev-xCS3CnMB7CArCQ9C3LRB,Diachronic German,"Charvat, Vera Maria:
Diachronic German (hochdeutsch, mitteldeutsch, niederdeutsch, oberdeutsch)",396,,NaN,,1050–1350,,"CorA XML, ANNIS",,"Vera Maria Charvat:
CorA XML (custom), ANNIS (custom linguistic search and visualization tool)","parts of speech, morphology and lemma",,"prose, lyric","epic, lyric",,Reference corpus,reference,https://www.laudatio-repository.org/docs/elasticapi/  ,,CC BY-SA 4.0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0 ,,NaN,NaN,,"Commentary: The laudatio repository uses a custom XML (CorA XML) and custom linguistic search and visualization tool (ANNIS); the ReM is only one of the corpora provided by the laudatio repository
Homepage: ""The ""Reference Corpus of Middle High German"" (short: ReM) is a corpus of diplomatically transcribed and annotated texts from Middle High German (1050-1350) with a size of around 2 million word forms. It originated from the research projects ""Reference Corpus of Middle High German"" and ""Middle High German grammar"". Texts have been digitized and richly annotated, e.g. with parts of speech, morphology and lemma""","Homepage, personal information from Carolin Odebrecht","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
17,Deutsches Textarchiv,DTA,,https://www.deutschestextarchiv.de/,German,,4448,"Charvat, Vera Maria:
[proposal: 4165], [homepage: 4448 (open) / 6482 (all texts, but some restricted access)]",NaN,,1500–1900+,,TEI,,"Vera Maria Charvat:
(TEI P5 XML Subset ""DTA Basisformat"")","POS, tokenized, lemmatized",,NaN,,"Vera Maria Charvat:
multigenre/various
",Monitor Corpus,monitor,https://www.deutschestextarchiv.de/api ,,CC BY-NC 3.0,,,https://ride.i-d-e.de/issues/issue-6/deutsches-textarchiv/ ,NaN,,"Proposal: ""Deutsches Textarchiv, http://www.deutschestextarchiv.de/ (4165 texts, all in TEI)""
Commentary: Multi-genre repositories with TEI-encoded texts; consists of a ""Kernkorpus"" (1468 texts) and additional corpora (5014 texts); metadata available in DC and CMDI; also OAI-PMH; very informative project-website with various features, documentation, download-area, etc. (but only available in German)","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
18,Folger Shakespeare Library,FolgerShake,artificialAcronym,https://shakespeare.folger.edu/,English,,37,,NaN,,1564(jul)–1616(greg),,"TEI, HTML, DOC, PDF, TXT, XML ",,"Vera Maria Charvat:
TEI (tokel-level)
PDF, DOC (word, Apple Pages, Apache Open Office, etc.), HTML, TXT (i.e., plain text), XML, and TEI Simple",NaN,,drama,drama,,Monitor Corpus,monitor,https://shakespeare.folger.edu/the-folger-shakespeare-api/,,CC BY-SA 4.0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0 ,,NaN,NaN,,"Proposal: ""Shakespeare Folger Library: all (37) Shakespeare plays, very high encoding-depth ""
Commentary: corpus of a single author; contained in ShakeDraCor","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
19,Anemoskala: Corpus of Modern Greek Poetry,Anemoskala,artificialAcronym,http://www.greek-language.gr/digitalResources/literature/tools/concordance/index.html,Greek,,NaN,,NaN,,1801–2000,,"TEI, TXT",,,NaN,,lyric,lyric,,Monitor Corpus,monitor,NaN,,NaN,,,https://ride.i-d-e.de/issues/issue-8/anemoskala/,NaN,,"Proposal: ""Anemoscala: Corpus of Modern Greek Poetry (19th and 20th century) ""
Review: ""publication policy does not allow any kind of download, export or further reuse of any part of the textual corpus""; “plain text, TEI-XML files,
metadata, concordance results”
Commentary: no download possible; homepage only in Greek","Proposal, Homepage, Review","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
20,Wikisource,Wikisource,artificialAcronym,https://wikisource.org/wiki/Wikisource:TEI ,NaN,,NaN,,NaN,,NaN,,"PDF, HTML, EPUB",,,NaN,,NaN,,"Vera Maria Charvat:
multigenre/various
",General-Purpose Collection,general,NaN,,"GFDL, CC-BY, CC-BY-SA",,"Vera Maria Charvat:
information derived from review",https://ride.i-d-e.de/issues/issue-8/wikisource/,NaN,,NaN,Review,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
21,European Literary Text Collection,ELTeC,,https://github.com/COST-ELTeC ,NaN,"Vera Maria:
multilingual",2500,,NaN,,1840–1920,,TEI,,,NaN,,"prose, novels",epic,,Monitor Corpus,monitor,NaN,,NaN,,,NaN,"An overview of the current state in ELTeC corpus building can be found here: https://distantreading.github.io/ELTeC/
Work on the different ELTeC corpora is in progress here: https://github.com/COST-ELTeC
A collection of relevant documentation can be found here: https://distantreading.github.io/ 
ELTeC page on Zenodo, with archived releases, one for each corpus: https://zenodo.org/communities/eltec/",,"Proposal: ""One of the aims of the Distant Reading COST Action (2017-2021) is to coordinate the creation of a multilingual European Literary Text Collection (ELTeC). The ELTeC core will ultimately contain at least 10 linguistically annotated subcollections of 100 novels comparable in their internal structure in at least 10 different European languages, totalling at least 1,000 full-text novels from the period 1840-1920. The extended ELTeC will take the total number of full-text novels to at least 2,500. Novels have been chosen among major literary genres for availability and size. Chronological limits are due to constraints related to copyright and availability of quality full texts.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
22,1000 Novel Corpus,1000Novel,artificialAcronym,http://hdl.handle.net/11321/312 ,Polish,,1000,,NaN,,NaN,,TXT,,,NaN,,"prose, novels",epic,,Based on a Research Question,specialized,NaN,,CC BY-SA 4.0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0 ,,NaN,NaN,,"Homepage: ""Corpus of literary texts intended as benchmark collection for text categorization. It contains 1000 novels written in polish or translated to polish by various authors. Each text is stored as separate .txt file.""
Commentary: Download all files: https://clarin-pl.eu/dspace/handle/11321/312?show=full# ",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
23,Annotating Literatures,AnnotLit,artificialAcronym,https://www.annotating-literature.org/,English,,NaN,,NaN,,NaN,,NaN,,,NaN,,"prose, lyric, fiction","epic, lyric",,Monitor Corpus,monitor,NaN,,NaN,,"Charvat, Vera Maria:
Homepage: ""The website on which our finished annotations will be published is open to the public and licensed under Creative Commons""
",NaN,http://www.annotating-literature.org/annotations/,,Commentary: They provide a styleguide for annotating: http://www.annotating-literature.org/wp-content/uploads/2020/09/Styleguide-2020-08-11.pdf ,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
24,The CLiGS textbox,CLiGS,artificialAcronym,https://github.com/cligs/textbox,"French, Spanish ",,NaN,,NaN,,NaN,,TEI,,,NaN,,NaN,,,based on a Research Question,specialized,NaN,,CC BY-SA 4.0,https://vocabs.acdh.oeaw.ac.at/archelicenses/cc-by-sa-4-0 ,,NaN,https://github.com/cligs/toolbox ,"Vera Maria Charvat:
Toolbox
",NaN,Homepage (Github),"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
25,Perseus digital library ,Perseus,artificialAcronym,http://www.perseus.tufts.edu/hopper/collections ,"Greek, Roman, Arabic",,NaN,,NaN,,NaN,,TXT,,,NaN,,NaN,,,Digital Critical Edition,digital_critical_edition,NaN,,NaN,,"Vera Maria Charvat:
Homepage: ""Our copyright agreements with the publishers of our texts do not permit us to offer full text downloading for all works in Perseus at this time. Texts for which XML downloads are available are indicated as such by a creative commons license and links to download options. You will find these in the center of a text viewing page, below the main focus text. We do not offer other formats for texts at this time.""
",https://ride.i-d-e.de/issues/issue-8/perseus/,NaN,,NaN,Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
26,Reference corpus Altdeutsch ,DiaGer,artificialAcronym,https://doi.org/10.34644/laudatio-dev-WiWkDnMB7CArCQ9CyBEw,Diachronic German,,129,,650000,,750–1050,,"TEI, ELAN, ANNIS",,"Vera Maria Charvat:
ANNIS (custom linguistic search and visualization tool)
","POS, ""Flexionsmorphologie""",,"prose, lyric","epic, lyric",,Reference Corpus,reference,https://www.laudatio-repository.org/docs/elasticapi/  ,,CC BY-NC-SA 3.0,,,NaN,http://www.deutschdiachrondigital.de/,,"Homepage (DE): ""Das Referenzkorpus Altdeutsch erfasst und annotiert die ältesten Sprachdenkmäler des Deutschen vom Beginn der kontinuierlichen schriftlichen Überlieferung um 750 bis etwa 1050 mit einem Umfang von ca. 650 000 Textwörtern. Aufgenommen werden alle in dieser Zeit überlieferten Texte des Althochdeutschen und des Altsächsischen in einer möglichst genauen Wiedergabestufe. Dabei werden die handschriftengetreuesten gedruckten Texteditionen zugrundegelegt. Die Annotation erfasst Header-Informationen, strukturelle (Wort, Satz, Zeile, Absatz etc.) und linguistische Annotationen (Part of Speech-Tagging, Flexionsmorphologie) sowie syntaktische Satzinformationen und erfolgt mit Unterstützung einer semi-automatischen Vorannotation, die mit Hilfe der digitalisierten Sprachstufen- und Textwörterbücher und Glossare zum Althochdeutschen und zum Altsächsischen erzeugt wurde. Die verschiedenen Stufen der Annotation werden in Form einer Mehrebenenarchitektur aufeinander bezogen.""
Commentary: one of the corpora provided by the laudatio repository",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
27,Stanford Literary Lab,StanfordLitLab,artificialAcronym,https://litlab.stanford.edu/,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,,NaN,,,NaN,,NaN,,NaN,,,NaN,NaN,,"Homepage: ""The Stanford Literary Lab is a research collective that applies computational criticism, in all its forms, to the study of literature.""
Commentary: No texts available, no possibility of download, just textual information about projects ",Homepage,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
28,Théâtre Classique,TheaClass,artificialAcronym,http://www.theatre-classique.fr/pages/programmes/PageEdition.php,French,,1620,,12980645,,1601–1800,,TEI,,"Vera Maria Charvat:
[but not available]",NaN,,"""Tragédies, Comédies, Proverbes, Tragi-comédies, Monologue, Drame, Saynètes, Opéras, Parodie, Pastorales, Parades""",drama,,Monitor Corpus,monitor,NaN,,NaN,,,https://ride.i-d-e.de/issues/issue-8/theatre-classique/,"statistic on corpus: http://www.theatre-classique.fr/pages/programmes/corpus.php
analysis of person/actor in drama: http://www.theatre-classique.fr/pages/PagePersonnages.html ",,"Proposal: ""Théâtre Classique: 1.350 plays (from 17th and 18th century)""
Commentary: TEI with tei-all invalid, undocumented customizations [M. Goebel set up a pipeline to do a cleaned up ingest into dracor]; from 17th and 18th century; homepage is entirely in French.","Proposal, Homepage, Review, personal information from project teammembers","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
29,Shakespeare His Contemporaries,SHC,artificialAcronym,https://github.com/JonathanReeve/corpus-SHC ,NaN,,509,"Charvat, Vera Maria:
[proposal: 853], [homepage: 509]",NaN,,1550–1660,"Charvat, Vera Maria:
[proposal: 1550–1700], [homepage: 1550-1660]",TEI,,,"[homepage: tokenized, linguistically annotated]",,drama,drama,,Monitor Corpus,monitor,NaN,,NaN,,,NaN,Tool developed by authors of SHC corpus: https://github.com/DH-Box/corpus-downloader ,,"Proposal: ""Shakespeare His Contemporaries: 853 plays written between 1550–1700""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
30,Letteratura teatrale nella Biblioteca italiana,LTItal,artificialAcronym,http://www.letteraturaitaliana.net/autori/carlo_goldoni.html ,Italian,,139,,NaN,,13.Jh-today,,[TEI info from proposal],,,NaN,,"[drama, plays]",drama,,NaN,,NaN,,NaN,,,NaN,NaN,,"page in Italian, not very informative","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
31,Dramawebben,DramaWebben,artificialAcronym,https://litteraturbanken.se/dramawebben,"Swedish, Latin, French, German, English","Charvat, Vera Maria:
Swedish
[Dropdown of the Search offers: Latin, French, German, Swedish, English, modernised language, proofread, not proofread]",8234,"Charvat, Vera Maria:
[Info from Proposal: 62]
HP-Info: 
The literature bank currently contains
about
    8234 works
    3373 authors
    293 232 pages etext
    1 482 904 pages facsimile
    394 190 260 words
    1229 epub files",394190260,,1248–today,,TEI,,"Vera Maria Charvat:
Information from proposal
","[Homepage search lists the following possiblities:
Search for a word or phrase, include conjugation forms, include older spellings, search by word meaning, search for word endings, search by part of speech""]",,"drama, plays",drama,,Monitor Corpus,monitor,NaN,,NaN,,,https://ride.i-d-e.de/issues/issue-6/litteraturbanken-the-swedish-literature-bank/,about-page: https://litteraturbanken.se/om/english.html (in English),,"Proposal: ""Dramawebben: 62 Swedish plays""
Commentary: It looks as if Dramawebben is only one collection of the ""litteraturbanken""; files are available as e-pub; available in SweDraCor","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
32,Ludvig Holbergs skrifter,LHS,,http://holbergsskrifter.dk/holberg-public/view?docId=adm/main.xml,"Danish, Latin",,86,"Charvat, Vera Maria:
36 comedies, 50 other texts",NaN,,NaN,"Vera Maria Charvat:
1684–1754 dates of birth/death of Holberg",TEI,,,NaN,,"comedies, historical works, non-fiction/prose, essays, writings related to comedies, autobiography","epic, lyric, drama",,Monitor Corpus,monitor,NaN,,NaN,,,NaN,NaN,,"Proposal: ""Ludvig Holbergs skrifter: 36 comedies""
Commentary: no info if texts are downloadable, seems you can only look at the texts online, no XML Files available, but there is a doku (in Danish): http://holbergsskrifter.dk/holberg-public/view?docId=adm/userHelp.xml (see ""Guidelines for textual encoding"")","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
33,Biblioteca Electrónica Textual del Teatro en Español de 1868–1936,BETTE,,https://github.com/HDAUNIR/BETTE,Spanish,,25,,NaN,,1868–1936,,TEI (P5),,,"acotaciones, nombre de personajes, lista de personajes, referencias a nombres de personajes (mediante nombre propio) dentro del texto, cursiva, encabezamientos, paratextos iniciales y finales 
[translation: annotations, name of characters, list of characters, references to character names (by proper name) within the text, italics, headings, initial and final paratexts]",,"drama, plays",drama,,Monitor Corpus,monitor,NaN,,NaN,,,NaN,https://zenodo.org/badge/latestdoi/104444419,,"Proposal: ""Biblioteca Electrónica Textual del Teatro en Español de 1868–1936 (BETTE): 25 Spanish plays""
Commentary: contained in SpanDraCor; metadata encoded in TEIHeader; VIAF IDs ","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
34,Emothe: The Classics of Early Modern European Theatre,EMOTHE,,https://emothe.uv.es/en/,"Italian, English, French, Spanish",,113,,NaN,,NaN,,TEI,,,NaN,,"drama, plays",drama,,Monitor Corpus,monitor,NaN,,NaN,,,NaN,NaN,,"Proposal: ""Emothe: The Classics of Early Modern European Theatre: 113 plays incl. translations (Italian, English, French, Spanish)""
Commentary: certificate on homepage has expired (page not safe?)",Proposal,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
35,British Women Romantic Poets,BWRP,artificialAcronym,https://digital.lib.ucdavis.edu/projects/bwrp/,English,,NaN,,NaN,,1789–1832 ,,TEI,,"Vera Maria Charvat:
Proposal: TEI XML driven",NaN,,poems,lyric,,General-Purpose Collection,general,NaN,,NaN,,,NaN,https://quod.lib.umich.edu/b/bwrp/,,"Proposal: ""British Women Romantic Poets, 1789–1832""
Commentary: Currently only an older version is available. On the starting page, a note says ""The British Women Romantic Poets archive is being transitioned to a new home. This page will automatically redirect to the new location when it becomes available.""; 
Homepage: ""Last content update May 23, 2001.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
36,Diachronic Spanish Sonnet Corpus,DISCO,,http://prf1.org/disco/,Spanish,,4303,"Charvat, Vera Maria:
[proposal: ca. 4000], [homepage: 4303]",NaN,,1401–1900,,TEI,,"Vera Maria Charvat:
Proposal: TEI XML driven
",NaN,,"poems, sonnets",lyric,,Monitor Corpus,monitor,NaN,,CC-BY licence,,,NaN,https://github.com/pruizf/disco,,"Proposal: ""DISCO (Diachronic Spanish Sonnet Corpus, over 4,000 sonnets by more than 1,000 authors, incl. canonical as well as non-canonical authors, 15th to the 19th century)""
Homepage (about-section: https://prf1.org/disco/about.html): 15th to the 19th century; over 4,000 sonnets by more than 1,000 authors, incl. canonical as well as non-canonical authors; ""The raw texts were in most cases extracted from Biblioteca Virtual Miguel de Cervantes (1999), with some 18th-century texts coming from Wikisource.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
37,Freiburger Anthologie,FRAN,artificialAcronym,http://freiburger-anthologie.de/,German,,1300,,NaN,,1720–1900,,TEI,,"Vera Maria Charvat:
Proposal: TEI XML driven
",NaN,,poems,lyric,,NaN,,NaN,,NaN,,,NaN,NaN,,"Proposal: ""Freiburger Anthologie (1.300 German-language poems from 1720–1900)""
Commentary: network timeout; page not reachable",Proposal,"Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
38,Poetess Archive,PoetessArchive,artificialAcronym,https://poetessarchive.org/,English,,4000,"Charvat, Vera Maria:
over 4000 entries",NaN,,1750–1900,,TEI,,"Vera Maria Charvat:
Proposal: TEI XML driven
",NaN,,poems,lyric,,General-Purpose ,general,NaN,,NaN,,,NaN,"Editorial Principles: https://poetessarchive.org/about/principles.html 
Instructions: https://poetessarchive.org/about/template.html 
XML-template: https://poetessarchive.org/about/annualtemplate-full.xml ",,"Proposal: ""Poetess Archive (flowery poetry written in Britain and America between 1750–1900)""
Homepage: ""Work Flow: Every bibliographic entry in the Poetess Archive has been made into a TEI-encoded page (see ""Editorial Principles"" for more about TEI). We have created TEI templates and will continue to create them for those who wish to submit texts already encoded, but we accept submissions of any kind, and then TEI-encode them here. After that work, the TEI pages are:
- created into HTML presenetation pages;
- entered into our Oracle database;
- made into RDFs so that the Poetess Archive Database is interoperable with NINES using the NINES COLLEX TOOL.""","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
39,Russian Poetic Corpus,RusPoet,artificialAcronym,https://ruscorpora.ru/new/en/search-poetic.html ,Russian,,NaN,,NaN,,NaN,,TEI,,"Vera Maria Charvat:
Proposal: TEI XML driven
",NaN,,poems,lyric,,Reference Corpus,reference,NaN,,NaN,,,NaN,NaN,,"Proposal: ""Russian Poetic Corpus (part of the Russian National Corpus)""
Homepage: ""The Poetry corpus, which facilitates searches not only by lexical and grammatical features but also by specifically poetical features, such as meter, rhyme types, etc,""
related paper: https://wp.hse.ru/data/2018/12/29/1143017363/77LNG2018.pdf","Proposal, Homepage","Vera Maria Charvat, Susanne Zhanial, Michal Mrugalski"
